tiempo,tipo,objeto_id,x_origen,y_origen,x_destino,y_destino,resultado
2.5,pase,1,30,80,100,90,completado
3.8,pase,2,100,90,180,70,completado
5.1,pase,3,180,70,220,80,fallido
7.0,pase,1,50,40,120,50,completado
9.2,pase,4,120,50,200,120,fallido
11.5,pase,2,60,120,140,100,completado
13.1,pase,3,140,100,205,95,completado
15.4,pase,1,90,70,160,60,completado
17.8,pase,4,160,60,210,110,completado
19.0,tiro,3,210,80,,,gol
22.3,tiro,1,200,60,,,atajado
25.6,tiro,4,215,100,,,fuera
28.1,tiro,3,190,90,,,gol
30.5,tiro,2,205,70,,,atajado
33.0,tiro,1,218,85,,,fuera
12.0,colision,2,150,90,,,
20.5,colision,3,195,75,,,
