frame,tiempo,evento,robot_implicado,equipo,detalles
189,7.56,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
193,7.72,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 1330.8 cm/s
198,7.92,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
210,8.4,Pase Completado,4,Equipo B,Pase exitoso recibido del Robot 3
211,8.44,Pase Completado,3,Equipo B,Pase exitoso recibido del Robot 4
212,8.48,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 1625.4 cm/s
213,8.52,Control de Balon,1,Equipo A,Robot 1 dominó la pelota libre
214,8.56,Tiro a Gol / Despeje,1,Equipo A,Disparo potente del Robot 1 a 481.6 cm/s
319,12.76,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
330,13.2,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 914.8 cm/s
412,16.48,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
413,16.52,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 429.6 cm/s
457,18.28,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
513,20.52,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 1751.5 cm/s
561,22.44,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
567,22.68,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 75.0 cm/s
1323,52.92,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
1372,54.88,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 970.4 cm/s
1464,58.56,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
1527,61.08,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 1375.6 cm/s
1762,70.48,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
1763,70.52,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 450.2 cm/s
1765,70.6,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
1767,70.68,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 184.5 cm/s
1796,71.84,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
1800,72.0,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 776.3 cm/s
1860,74.4,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
1887,75.48,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2066,82.64,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
2087,83.48,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 730.7 cm/s
2111,84.44,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
2121,84.84,Pase Completado,1,Equipo A,Pase exitoso recibido del Robot 2
2122,84.88,Tiro a Gol / Despeje,1,Equipo A,Disparo potente del Robot 1 a 428.9 cm/s
2183,87.32,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
2190,87.6,Tiro a Gol / Despeje,2,Equipo A,Disparo potente del Robot 2 a 1634.8 cm/s
2193,87.72,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2247,89.88,Tiro a Gol / Despeje,4,Equipo B,Disparo potente del Robot 4 a 798.0 cm/s
2306,92.24,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2335,93.4,Tiro a Gol / Despeje,4,Equipo B,Disparo potente del Robot 4 a 1521.6 cm/s
2336,93.44,Control de Balon,1,Equipo A,Robot 1 dominó la pelota libre
2337,93.48,Tiro a Gol / Despeje,1,Equipo A,Disparo potente del Robot 1 a 466.9 cm/s
2338,93.52,Control de Balon,2,Equipo A,Robot 2 dominó la pelota libre
2385,95.4,Pase Completado,1,Equipo A,Pase exitoso recibido del Robot 2
2386,95.44,Tiro a Gol / Despeje,1,Equipo A,Disparo potente del Robot 1 a 692.5 cm/s
2390,95.6,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2475,99.0,Tiro a Gol / Despeje,4,Equipo B,Disparo potente del Robot 4 a 1075.8 cm/s
2488,99.52,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2489,99.56,Pase Completado,3,Equipo B,Pase exitoso recibido del Robot 4
2490,99.6,Pase Completado,4,Equipo B,Pase exitoso recibido del Robot 3
2607,104.28,Pase Completado,3,Equipo B,Pase exitoso recibido del Robot 4
2620,104.8,Pase Completado,4,Equipo B,Pase exitoso recibido del Robot 3
2760,110.4,Tiro a Gol / Despeje,4,Equipo B,Disparo potente del Robot 4 a 247.5 cm/s
2762,110.48,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
2783,111.32,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 183.5 cm/s
2788,111.52,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2799,111.96,Pase Completado,3,Equipo B,Pase exitoso recibido del Robot 4
2812,112.48,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 105.6 cm/s
2815,112.6,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
2821,112.84,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 265.0 cm/s
2825,113.0,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
2846,113.84,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 537.8 cm/s
2847,113.88,Control de Balon,4,Equipo B,Robot 4 dominó la pelota libre
2850,114.0,Tiro a Gol / Despeje,4,Equipo B,Disparo potente del Robot 4 a 125.6 cm/s
2917,116.68,Control de Balon,3,Equipo B,Robot 3 dominó la pelota libre
2983,119.32,Tiro a Gol / Despeje,3,Equipo B,Disparo potente del Robot 3 a 763.1 cm/s
3027,121.08,Control de Balon,1,Equipo A,Robot 1 dominó la pelota libre
