frame,tiempo,id_objeto,tipo,equipo,x,y,area
1,0.04,0,robot,robot_cancha,59.58,106.52,6597
1,0.04,0,robot,robot_cancha,48.21,81.55,6475
1,0.04,0,robot,robot_cancha,53.62,71.19,6475
1,0.04,0,robot,robot_cancha,45.5,53.66,6634
2,0.08,0,robot,robot_cancha,60.67,105.05,6447
2,0.08,0,robot,robot_cancha,56.51,73.05,6498
2,0.08,0,robot,robot_cancha,47.12,83.01,6498
2,0.08,0,robot,robot_cancha,40.81,52.73,6913
3,0.12,0,robot,robot_cancha,58.14,109.84,6754
3,0.12,0,robot,robot_cancha,47.85,77.03,6580
3,0.12,0,robot,robot_cancha,44.6,64.68,6580
3,0.12,0,robot,robot_cancha,47.85,54.32,6580
4,0.16,0,robot,robot_cancha,57.6,111.43,7210
4,0.16,0,robot,robot_cancha,42.97,65.08,6447
4,0.16,0,robot,robot_cancha,46.04,76.1,6447
4,0.16,0,robot,robot_cancha,48.03,54.59,6447
5,0.2,0,robot,robot_cancha,56.69,113.29,6946
5,0.2,0,robot,robot_cancha,42.43,55.12,6494
5,0.2,0,robot,robot_cancha,41.53,66.14,6494
5,0.2,0,robot,robot_cancha,44.42,28.42,4526
6,0.24,0,robot,robot_cancha,58.86,108.11,6766
6,0.24,0,robot,robot_cancha,48.21,54.45,6567
6,0.24,0,robot,robot_cancha,49.11,66.41,6567
