frame,tiempo,id_objeto,tipo,equipo,x,y,area,intervencion_humana
0,0.0,1,robot,Equipo A,52.84,42.18,11829,no
0,0.0,2,robot,Equipo A,32.58,77.57,12684,no
0,0.0,3,robot,Equipo B,146.34,73.09,6660,no
0,0.0,4,robot,Equipo B,0.0,0.0,0,no
0,0.0,0,balon,balon,66.58,76.12,700,no
1,0.04,1,robot,Equipo A,52.84,42.18,11829,no
1,0.04,2,robot,Equipo A,32.58,77.57,12684,no
1,0.04,3,robot,Equipo B,146.34,73.09,6660,no
1,0.04,4,robot,Equipo B,0.0,0.0,0,no
1,0.04,0,balon,balon,66.64,76.32,695,no
2,0.08,1,robot,Equipo A,52.84,42.18,11829,no
2,0.08,2,robot,Equipo A,32.58,77.57,12684,no
2,0.08,3,robot,Equipo B,146.34,73.09,6660,no
2,0.08,4,robot,Equipo B,0.0,0.0,0,no
2,0.08,0,balon,balon,66.75,76.62,697,no
3,0.12,1,robot,Equipo A,52.84,42.18,11829,no
3,0.12,2,robot,Equipo A,32.58,77.57,12684,no
3,0.12,3,robot,Equipo B,146.34,73.09,6660,no
3,0.12,4,robot,Equipo B,0.0,0.0,0,no
3,0.12,0,balon,balon,66.93,76.92,705,no
4,0.16,1,robot,Equipo A,52.84,42.18,11829,no
4,0.16,2,robot,Equipo A,32.58,77.57,12684,no
4,0.16,3,robot,Equipo B,146.34,73.09,6660,no
4,0.16,4,robot,Equipo B,0.0,0.0,0,no
4,0.16,0,balon,balon,67.15,77.27,695,no
5,0.2,1,robot,Equipo A,53.16,42.79,11283,no
5,0.2,2,robot,Equipo A,33.04,78.0,11474,no
5,0.2,3,robot,Equipo B,146.34,73.52,6508,no
5,0.2,4,robot,Equipo B,143.22,61.82,1407,no
5,0.2,0,balon,balon,67.41,77.6,694,no
6,0.24,1,robot,Equipo A,53.47,43.4,11283,no
6,0.24,2,robot,Equipo A,33.49,78.4,11474,no
6,0.24,3,robot,Equipo B,146.34,73.92,6508,no
6,0.24,4,robot,Equipo B,143.01,61.89,1536,no
6,0.24,0,balon,balon,67.61,77.91,678,no
7,0.28,1,robot,Equipo A,53.77,44.0,11283,no
7,0.28,2,robot,Equipo A,33.94,78.77,11474,no
7,0.28,3,robot,Equipo B,146.34,74.29,6508,no
7,0.28,4,robot,Equipo B,142.64,62.02,1660,no
7,0.28,0,balon,balon,67.66,78.08,696,no
8,0.32,1,robot,Equipo A,54.07,44.59,11283,no
8,0.32,2,robot,Equipo A,34.38,79.12,11474,no
8,0.32,3,robot,Equipo B,146.34,74.64,6508,no
8,0.32,4,robot,Equipo B,142.15,62.22,1784,no
8,0.32,0,balon,balon,67.69,78.18,696,no
9,0.36,1,robot,Equipo A,54.37,45.18,11283,no
9,0.36,2,robot,Equipo A,34.81,79.45,11474,no
9,0.36,3,robot,Equipo B,146.34,74.97,6508,no
9,0.36,4,robot,Equipo B,141.6,62.45,1908,no
9,0.36,0,balon,balon,67.57,78.1,714,no
10,0.4,1,robot,Equipo A,54.23,45.0,11209,no
10,0.4,2,robot,Equipo A,34.61,79.38,12026,no
10,0.4,3,robot,Equipo B,146.2,74.9,6374,no
10,0.4,4,robot,Equipo B,141.6,62.45,0,no
