frame,tiempo,objeto_id,tipo,x,y,equipo,area,intervencion_humana
1,0.04,1,robot_aliado,57.91,39.18,Equipo_1,3570,no
1,0.04,2,robot_aliado,48.21,39.18,Equipo_2,3570,no
1,0.04,3,robot_rival,77.16,56.51,Equipo_3,3060,no
1,0.04,4,robot_rival,60.16,46.76,Equipo_4,4080,no
2,0.08,1,robot_aliado,85.66,55.97,Equipo_1,2295,si
2,0.08,2,robot_aliado,78.76,54.89,Equipo_2,1785,si
2,0.08,3,robot_rival,87.79,42.07,Equipo_3,3315,no
2,0.08,4,robot_rival,109.97,65.72,Equipo_4,3825,si
3,0.12,1,robot_aliado,50.07,39.72,Equipo_1,2550,si
3,0.12,2,robot_aliado,60.96,36.29,Equipo_2,3570,si
3,0.12,3,robot_rival,71.45,40.62,Equipo_3,3570,no
3,0.12,4,robot_rival,115.55,63.19,Equipo_4,2040,no
4,0.16,1,robot_aliado,56.05,56.88,Equipo_1,4335,no
4,0.16,2,robot_aliado,118.73,58.86,Equipo_2,2040,si
4,0.16,3,robot_rival,69.59,49.83,Equipo_3,4335,no
4,0.16,4,robot_rival,106.52,64.28,Equipo_4,3825,no
5,0.2,1,robot_aliado,30.41,50.01,Equipo_1,3060,si
5,0.2,2,robot_aliado,64.95,32.32,Equipo_2,1785,si
5,0.2,3,robot_rival,65.48,32.14,Equipo_3,2550,no
5,0.2,4,robot_rival,106.65,55.07,Equipo_4,1530,no
6,0.24,1,robot_aliado,100.94,60.12,Equipo_1,2295,si
6,0.24,2,robot_aliado,73.05,48.21,Equipo_2,3825,no
6,0.24,3,robot_rival,72.91,49.65,Equipo_3,5355,no
6,0.24,4,robot_rival,113.16,64.28,Equipo_4,3825,no
