frame,tiempo,id_objeto,tipo,equipo,x,y,area,intervencion_humana
0,0.0,1,robot,Equipo A,82.01,97.05,18886,no
0,0.0,2,robot,Equipo A,75.25,56.7,10649,no
0,0.0,3,robot,Equipo B,86.05,87.77,3366,no
0,0.0,4,robot,Equipo B,85.26,5.09,9098,no
5,0.2,1,robot,Equipo A,82.01,97.05,0,no
5,0.2,2,robot,Equipo A,75.04,58.0,11069,no
5,0.2,3,robot,Equipo B,84.66,87.89,19736,no
5,0.2,4,robot,Equipo B,86.89,6.79,5528,no
10,0.4,1,robot,Equipo A,82.01,97.05,0,no
10,0.4,2,robot,Equipo A,74.57,60.9,11827,no
10,0.4,3,robot,Equipo B,82.98,87.44,15897,no
10,0.4,4,robot,Equipo B,86.89,6.79,0,no
15,0.6,1,robot,Equipo A,82.01,97.05,0,no
15,0.6,2,robot,Equipo A,72.52,58.36,4067,no
15,0.6,3,robot,Equipo B,81.15,87.01,24557,no
15,0.6,4,robot,Equipo B,86.89,6.79,0,no
20,0.8,1,robot,Equipo A,82.01,97.05,0,no
20,0.8,2,robot,Equipo A,72.52,58.36,0,no
20,0.8,3,robot,Equipo B,81.15,87.01,0,no
20,0.8,4,robot,Equipo B,85.23,6.5,9797,no
25,1.0,1,robot,Equipo A,79.83,96.52,28368,no
25,1.0,2,robot,Equipo A,72.52,58.36,0,no
25,1.0,3,robot,Equipo B,81.15,87.01,0,no
25,1.0,4,robot,Equipo B,85.36,7.16,28290,no
30,1.2,1,robot,Equipo A,78.18,96.93,31815,no
30,1.2,2,robot,Equipo A,72.52,58.36,0,no
30,1.2,3,robot,Equipo B,80.88,87.69,3970,no
30,1.2,4,robot,Equipo B,85.06,7.68,29343,no
35,1.4,1,robot,Equipo A,77.81,99.13,27540,no
35,1.4,2,robot,Equipo A,72.52,58.36,0,no
35,1.4,3,robot,Equipo B,80.85,89.51,4762,no
35,1.4,4,robot,Equipo B,84.8,8.89,5698,no
40,1.6,1,robot,Equipo A,77.67,101.7,32331,no
40,1.6,2,robot,Equipo A,72.52,58.36,0,no
40,1.6,3,robot,Equipo B,76.85,90.63,11700,no
40,1.6,4,robot,Equipo B,84.44,9.69,6523,no
45,1.8,1,robot,Equipo A,77.87,105.64,32796,no
45,1.8,2,robot,Equipo A,72.52,58.36,0,no
45,1.8,3,robot,Equipo B,73.31,91.2,11852,no
45,1.8,4,robot,Equipo B,86.48,8.69,6535,no
50,2.0,1,robot,Equipo A,78.1,109.21,23800,no
50,2.0,2,robot,Equipo A,72.52,58.36,0,no
50,2.0,3,robot,Equipo B,70.16,91.98,11909,no
50,2.0,4,robot,Equipo B,87.91,8.4,13015,no
55,2.2,1,robot,Equipo A,77.93,111.89,28740,no
55,2.2,2,robot,Equipo A,72.52,58.36,0,no
55,2.2,3,robot,Equipo B,67.52,93.06,12545,no
55,2.2,4,robot,Equipo B,88.77,8.76,15805,no
60,2.4,1,robot,Equipo A,77.82,114.17,24330,no
60,2.4,2,robot,Equipo A,72.52,58.36,0,no
60,2.4,3,robot,Equipo B,65.35,93.81,13517,no
60,2.4,4,robot,Equipo B,88.01,8.67,43006,no
65,2.6,1,robot,Equipo A,78.27,115.26,7120,no
65,2.6,2,robot,Equipo A,72.52,58.36,0,no
65,2.6,3,robot,Equipo B,65.35,93.81,0,no
65,2.6,4,robot,Equipo B,87.29,8.59,44216,no
70,2.8,1,robot,Equipo A,78.6,116.5,7161,no
70,2.8,2,robot,Equipo A,72.52,58.36,0,no
70,2.8,3,robot,Equipo B,65.35,93.81,0,no
70,2.8,4,robot,Equipo B,87.85,9.36,15334,no
75,3.0,1,robot,Equipo A,78.09,117.93,19724,no
75,3.0,2,robot,Equipo A,72.52,58.36,0,no
75,3.0,3,robot,Equipo B,65.35,93.81,0,no
75,3.0,4,robot,Equipo B,89.88,7.88,5218,no
80,3.2,1,robot,Equipo A,76.48,119.0,30193,no
80,3.2,2,robot,Equipo A,72.52,58.36,0,no
80,3.2,3,robot,Equipo B,67.12,97.26,5774,no
80,3.2,4,robot,Equipo B,88.39,8.91,22254,no
85,3.4,1,robot,Equipo A,75.33,115.83,4765,no
85,3.4,2,robot,Equipo A,72.52,58.36,0,no
85,3.4,3,robot,Equipo B,67.12,97.26,0,no
85,3.4,4,robot,Equipo B,89.68,7.77,3778,no
90,3.6,1,robot,Equipo A,72.96,113.91,26258,no
90,3.6,2,robot,Equipo A,72.52,58.36,0,no
90,3.6,3,robot,Equipo B,67.12,97.26,0,no
90,3.6,4,robot,Equipo B,88.55,9.5,30486,no
95,3.8,1,robot,Equipo A,70.89,111.42,23533,no
95,3.8,2,robot,Equipo A,72.52,58.36,0,no
95,3.8,3,robot,Equipo B,64.11,92.17,12426,no
95,3.8,4,robot,Equipo B,87.66,11.53,28656,no
100,4.0,1,robot,Equipo A,69.5,109.77,26138,no
100,4.0,2,robot,Equipo A,72.52,58.36,0,no
100,4.0,3,robot,Equipo B,64.11,92.17,0,no
100,4.0,4,robot,Equipo B,88.75,10.53,7410,no
105,4.2,1,robot,Equipo A,68.68,109.16,25969,no
105,4.2,2,robot,Equipo A,72.52,58.36,0,no
105,4.2,3,robot,Equipo B,61.45,86.43,13374,no
105,4.2,4,robot,Equipo B,93.3,12.64,36438,no
110,4.4,1,robot,Equipo A,68.52,109.22,32962,no
110,4.4,2,robot,Equipo A,68.34,59.48,13253,no
110,4.4,3,robot,Equipo B,61.45,86.43,0,no
110,4.4,4,robot,Equipo B,90.25,13.93,65893,no
115,4.6,1,robot,Equipo A,68.04,109.48,27758,no
115,4.6,2,robot,Equipo A,68.34,59.48,0,no
115,4.6,3,robot,Equipo B,59.47,81.57,12495,no
115,4.6,4,robot,Equipo B,93.72,14.48,36042,no
